"Name","FacilityType","Location","Status","Food","Latitude","Longitude","Availability","Zip.Codes","description","FoodType"
"Street Meet","Truck","HOWARD ST: 01ST ST to MALDEN ALY (500 - 589)","REQUESTED","tortas: burritos: tacos: churros: nachos: asada fries",37.7875398934675,-122.397726709152,"",28855,"<strong>Name: </strong>Street Meet<br><strong>Food:</strong> Tortas: Burritos: Tacos: Churros: Nachos: Asada Fries<br><strong>Location:</strong> HOWARD ST: 01ST ST to MALDEN ALY (500 - 589)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"BOWL'D ACAI, LLC.","Truck","MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99)","REQUESTED","acai bowls: poke bowls: smoothies: juices",37.8045778690901,-122.433010774343,"",57,"<strong>Name: </strong>BOWL'D ACAI, LLC.<br><strong>Food:</strong> Acai Bowls: Poke Bowls: Smoothies: Juices<br><strong>Location:</strong> MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"tacos y pupusas los trinos","","MISSION ST: AVALON AVE to COTTER ST (4368 - 4439)","REQUESTED","",37.7275665375917,-122.432969701989,"",28861,"<strong>Name: </strong>tacos y pupusas los trinos<br><strong>Food:</strong> <br><strong>Location:</strong> MISSION ST: AVALON AVE to COTTER ST (4368 - 4439)<br><strong>Type:</strong> <br><strong>Availability:</strong> ",""
"MOMO INNOVATION LLC","Truck","PINE ST: FRONT ST to BATTERY ST (100 - 199)","REQUESTED","momo spicy noodle: popo's noodle: spicy chicken noodle: rice noodles",37.792524940842,-122.399415781865,"",28860,"<strong>Name: </strong>MOMO INNOVATION LLC<br><strong>Food:</strong> MOMO spicy noodle: POPO's noodle: Spicy Chicken noodle: Rice Noodles<br><strong>Location:</strong> PINE ST: FRONT ST to BATTERY ST (100 - 199)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Treats by the Bay LLC","Truck","HOWARD ST: MALDEN ALY to 02ND ST (574 - 599)","REQUESTED","prepackaged kettlecorn",37.7868016505971,-122.397871635003,"",28855,"<strong>Name: </strong>Treats by the Bay LLC<br><strong>Food:</strong> Prepackaged Kettlecorn<br><strong>Location:</strong> HOWARD ST: MALDEN ALY to 02ND ST (574 - 599)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"MOMO INNOVATION LLC","Truck","CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199)","REQUESTED","momo spicy noodle: popo's noodle: spicy chicken noodle: rice noodles",37.7929489528347,-122.398098613167,"",28860,"<strong>Name: </strong>MOMO INNOVATION LLC<br><strong>Food:</strong> MOMO spicy noodle: POPO's noodle: Spicy Chicken noodle: Rice Noodles<br><strong>Location:</strong> CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"El Calamar Perubian Food Truck","Truck","24TH ST: UTAH ST to POTRERO AVE (2600 - 2699)","REQUESTED","lomo saltado: jalea: ceviche: calamari tilapia plates: chicken: soda: water.",37.7528148292211,-122.405662641918,"",28859,"<strong>Name: </strong>El Calamar Perubian Food Truck<br><strong>Food:</strong> Lomo Saltado: Jalea: Ceviche: Calamari Tilapia Plates: Chicken: Soda: Water.<br><strong>Location:</strong> 24TH ST: UTAH ST to POTRERO AVE (2600 - 2699)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Golden Gate Halal Food","Push Cart","MARKET ST: 07TH ST \ CHARLES J BRENHAM PL to 08TH ST \ GROVE ST \ HYDE ST (1101 - 1199) -- SOUTH --","REQUESTED","pulao plates & sandwiches: various drinks",0,0,"",NA,"<strong>Name: </strong>Golden Gate Halal Food<br><strong>Food:</strong> Pulao Plates & Sandwiches: Various Drinks<br><strong>Location:</strong> MARKET ST: 07TH ST \ CHARLES J BRENHAM PL to 08TH ST \ GROVE ST \ HYDE ST (1101 - 1199) -- SOUTH --<br><strong>Type:</strong> Push Cart<br><strong>Availability:</strong> ",""
"Star Taco","","HOWARD ST: MALDEN ALY to 02ND ST (574 - 599)","REQUESTED","mexican food",37.7873042488646,-122.398037251912,"",28855,"<strong>Name: </strong>Star Taco<br><strong>Food:</strong> Mexican Food<br><strong>Location:</strong> HOWARD ST: MALDEN ALY to 02ND ST (574 - 599)<br><strong>Type:</strong> <br><strong>Availability:</strong> ",""
"Golden Gate Halal Food","Push Cart","MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --","REQUESTED","pulao plates & sandwiches: various drinks",37.7822807724186,-122.40953118732,"",28853,"<strong>Name: </strong>Golden Gate Halal Food<br><strong>Food:</strong> Pulao Plates & Sandwiches: Various Drinks<br><strong>Location:</strong> MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --<br><strong>Type:</strong> Push Cart<br><strong>Availability:</strong> ",""
"Bay Area Dots, LLC","Push Cart","TAYLOR ST: BAY ST intersection","REQUESTED","hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.",0,0,"",NA,"<strong>Name: </strong>Bay Area Dots, LLC<br><strong>Food:</strong> Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.<br><strong>Location:</strong> TAYLOR ST: BAY ST intersection<br><strong>Type:</strong> Push Cart<br><strong>Availability:</strong> ",""
"Bay Area Dots, LLC","Push Cart","BEACH ST: HYDE ST to LARKIN ST (700 - 799)","REQUESTED","hot dogs: condiments: soft pretzels: soft drinks: coffee:cold beverages: pastries: bakery goods: cookies: icecream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.",37.8077432884455,-122.42414994487,"",28858,"<strong>Name: </strong>Bay Area Dots, LLC<br><strong>Food:</strong> Hot dogs: condiments: soft pretzels: soft drinks: coffee:cold beverages: pastries: bakery goods: cookies: icecream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.<br><strong>Location:</strong> BEACH ST: HYDE ST to LARKIN ST (700 - 799)<br><strong>Type:</strong> Push Cart<br><strong>Availability:</strong> ",""
"Giant Burrito","Truck","GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --","REQUESTED","tacos: burritos: tostadas: flautas: tostadas: tortas: pozole menudo",37.7123026047444,-122.431644190373,"",28861,"<strong>Name: </strong>Giant Burrito<br><strong>Food:</strong> Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo<br><strong>Location:</strong> GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Los 2 Cuates","Truck","MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699)","REQUESTED","peruvian food",0,0,"",NA,"<strong>Name: </strong>Los 2 Cuates<br><strong>Food:</strong> Peruvian Food<br><strong>Location:</strong> MARIPOSA ST: ARKANSAS ST to CAROLINA ST (1500 - 1699)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Union Square Business Improvement District","Truck","MAIDEN LN: GRANT AVE to STOCKTON ST (100 - 199)","REQUESTED","all types of food except for bbq on site per fire safety. partnership with off the grid and their fleet of mff's",0,0,"",NA,"<strong>Name: </strong>Union Square Business Improvement District<br><strong>Food:</strong> All types of food except for BBQ on site per fire safety. Partnership with Off the Grid and their fleet of MFF's<br><strong>Location:</strong> MAIDEN LN: GRANT AVE to STOCKTON ST (100 - 199)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Los 2 Cuates","Truck","SPEAR ST: MISSION ST to HOWARD ST (100 - 199)","REQUESTED","peruvian food",37.7921505484817,-122.393999974059,"",28855,"<strong>Name: </strong>Los 2 Cuates<br><strong>Food:</strong> Peruvian Food<br><strong>Location:</strong> SPEAR ST: MISSION ST to HOWARD ST (100 - 199)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Giant Burrito","Truck","BAY SHORE BLVD: FLOWER ST to CORTLAND AVE (341 - 489) -- EAST --","REQUESTED","tacos: burritos: tostadas: flautas: tostadas: tortas: pozole menudo",37.7417178307439,-122.405417977448,"",58,"<strong>Name: </strong>Giant Burrito<br><strong>Food:</strong> Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo<br><strong>Location:</strong> BAY SHORE BLVD: FLOWER ST to CORTLAND AVE (341 - 489) -- EAST --<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Wonder Philly","Push Cart","04TH ST: BERRY ST to CHANNEL ST (900 - 999)","ISSUED","hot dogs: sausages: cheesesteaks: chips: drinks",37.7743376663696,-122.394053286313,"Mo-We:9AM-5PM",310,"<strong>Name: </strong>Wonder Philly<br><strong>Food:</strong> Hot dogs: sausages: cheesesteaks: chips: drinks<br><strong>Location:</strong> 04TH ST: BERRY ST to CHANNEL ST (900 - 999)<br><strong>Type:</strong> Push Cart<br><strong>Availability:</strong> Mo-We:9AM-5PM",""
"MOMO INNOVATION LLC","Truck","MISSION ST: SHAW ALY to ANTHONY ST (543 - 586)","REQUESTED","noodles",37.7884461569013,-122.398641242039,"",28855,"<strong>Name: </strong>MOMO INNOVATION LLC<br><strong>Food:</strong> Noodles<br><strong>Location:</strong> MISSION ST: SHAW ALY to ANTHONY ST (543 - 586)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"MOMO INNOVATION LLC","Truck","BUSH ST: BATTERY ST to SANSOME ST (100 - 199)","REQUESTED","noodles",37.7909215072692,-122.400100423738,"",28854,"<strong>Name: </strong>MOMO INNOVATION LLC<br><strong>Food:</strong> Noodles<br><strong>Location:</strong> BUSH ST: BATTERY ST to SANSOME ST (100 - 199)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Off the Grid Services, LLC","Truck","SANSOME ST: SUTTER ST to BUSH ST (1 - 99)","REQUESTED","",37.7909215072692,-122.400100423738,"",28854,"<strong>Name: </strong>Off the Grid Services, LLC<br><strong>Food:</strong> <br><strong>Location:</strong> SANSOME ST: SUTTER ST to BUSH ST (1 - 99)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"SOHOMEI, LLC","Truck","TREAT AVE: DIVISION ST \ FLORIDA ST to ALAMEDA ST (1 - 99)","REQUESTED","cold truck. deli: bbq chicken skewer: chinese spring roll: chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. drinks: coke: 7-up: dr. pepper: pepsi: redbull: vitamin water: rockstar: coconut juice: water. hot drinks: coffee: tea.",37.7683069928,-122.412000336092,"Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM",28853,"<strong>Name: </strong>SOHOMEI, LLC<br><strong>Food:</strong> COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.<br><strong>Location:</strong> TREAT AVE: DIVISION ST \ FLORIDA ST to ALAMEDA ST (1 - 99)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM",""
"Singh Brothers Ice Cream","Truck","KIRKWOOD AVE: NEWHALL ST to PHELPS ST (1600 - 1699)","REQUESTED","ice cream: pre-packaged chips: candies: bottled water & canned soda",37.7393571608675,-122.391522811759,"Mo-Fr:4PM-5PM",58,"<strong>Name: </strong>Singh Brothers Ice Cream<br><strong>Food:</strong> Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA<br><strong>Location:</strong> KIRKWOOD AVE: NEWHALL ST to PHELPS ST (1600 - 1699)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Mo-Fr:4PM-5PM",""
"Datam SF LLC dba Anzu To You","Truck","TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599)","REQUESTED","asian fusion - japanese sandwiches/sliders/misubi",37.805885350101,-122.415945246637,"",308,"<strong>Name: </strong>Datam SF LLC dba Anzu To You<br><strong>Food:</strong> Asian Fusion - Japanese Sandwiches/Sliders/Misubi<br><strong>Location:</strong> TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> ",""
"Ruru Juice LLC","Truck","MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634)","REQUESTED","smoothies: juice: salads: fruit bowls: soup",37.7876716444879,-122.399762925839,"Tu/Th/Fr:9AM-1PM",28855,"<strong>Name: </strong>Ruru Juice LLC<br><strong>Food:</strong> Smoothies: Juice: Salads: Fruit Bowls: Soup<br><strong>Location:</strong> MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Tu/Th/Fr:9AM-1PM",""
"SOHOMEI, LLC","Truck","THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to SAN FRANCISCO GOLF CLUB RD (1 - 99)","REQUESTED","cold truck. deli: bbq chicken skewer: chinese spring roll: chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. drinks: coke: 7-up: dr. pepper: pepsi: redbull: vitamin water: rockstar: coconut juice: water. hot drinks: coffee: tea.",37.7100033342894,-122.471411913129,"Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM",64,"<strong>Name: </strong>SOHOMEI, LLC<br><strong>Food:</strong> COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.<br><strong>Location:</strong> THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to SAN FRANCISCO GOLF CLUB RD (1 - 99)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM",""
"El Tonayense #60","Truck","HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149)","REQUESTED","tacos: burritos: tortas: quesadillas: drinks",37.7631083253767,-122.413454890022,"Mo-Su:10AM-4PM",28859,"<strong>Name: </strong>El Tonayense #60<br><strong>Food:</strong> Tacos: Burritos: Tortas: Quesadillas: Drinks<br><strong>Location:</strong> HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Mo-Su:10AM-4PM",""
"Singh Brothers Ice Cream","Truck","HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299)","REQUESTED","ice cream: pre-packaged chips: candies: bottled water & canned soda",37.7334388116408,-122.380467549518,"Mo-Fr:3PM-4PM",58,"<strong>Name: </strong>Singh Brothers Ice Cream<br><strong>Food:</strong> Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA<br><strong>Location:</strong> HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299)<br><strong>Type:</strong> Truck<br><strong>Availability:</strong> Mo-Fr:3PM-4PM",""
